Name,Type,Background,Background_Hex,Background_Pattern,Hair,Eyes,Skin_Tone,Headwear,Facial_Hair,Accessories,Clothing,Lips,Training_Caption,Review_Status
lady_001_hazelnut,Female,dark green,#1d4a46,solid,brown wavy,green,light,pink bow,,"teal earrings, yellow necklace",,pink,"24x24 pixel art portrait, dark green background (#1d4a46), brown wavy hair, green eyes, light skin, wearing pink bow, teal earrings, yellow necklace, pink lips",REVIEWED
lady_002_vanilla,Female,light blue,#c3d4ef,solid,blonde wavy,green-grey,light,,,"earrings, necklace",,pink,"24x24 pixel art portrait, light blue background (#c3d4ef), blonde wavy hair, green-grey eyes, light skin, earrings, necklace, pink lips",REVIEWED
lady_003_cashew,Female,grey,#888b82,solid,black with gold checkered hair accessory,brown,light,,,"gold earrings, white collar",,red,"24x24 pixel art portrait, grey background (#888b82), black with gold checkered hair accessory hair, brown eyes, light skin, gold earrings, white collar, red lips",REVIEWED
lady_004_nutmeg,Female,peach/orange,#ffc8a0,solid,black with gold accent,brown,dark,,,gold earrings,,pink,"24x24 pixel art portrait, peach/orange background (#ffc8a0), black with gold accent hair, brown eyes, dark skin, gold earrings, pink lips",REVIEWED
lady_005_cinnamon,Female,brown,#453128,solid,light brown/auburn wavy,green,light,,,gold necklace,,pink,"24x24 pixel art portrait, brown background (#453128), light brown/auburn wavy hair, green eyes, light skin, gold necklace, pink lips",REVIEWED
lady_006_pepper,Female,black and white split,"#ffffff, #000000",split,black and white split (Cruella style),green,pale white,,,gold earrings,,red,"24x24 pixel art portrait, black and white split split background (#ffffff, #000000), black and white split (Cruella style) hair, green eyes, pale white skin, gold earrings, red lips",REVIEWED
lady_007_alloy,Female,purple,#1d0a37,solid,light brown/blonde short,blue/cyan,light,,,ocular implant (right eye),burgundy top,pink,"24x24 pixel art portrait, purple background (#1d0a37), light brown/blonde short hair, blue/cyan eyes, light skin, ocular implant (right eye), burgundy top, pink lips",REVIEWED
lady_008_pinksilk,Female,pink,#ed98bf,solid,brown,brown,light,white tiara/crown,,"earrings, necklace, cigarette holder",light blue dress,pink,"24x24 pixel art portrait, pink background (#ed98bf), brown hair, brown eyes, light skin, wearing white tiara/crown, earrings, necklace, cigarette holder, light blue dress, pink lips",REVIEWED
lady_009_bluesilk,Female,cyan/turquoise,#94d6d0,solid,brown,covered by sunglasses,light,"white tiara/crown, black sunglasses",,"earrings, necklace",light blue dress,pink,"24x24 pixel art portrait, cyan/turquoise background (#94d6d0), brown hair, covered by sunglasses eyes, light skin, wearing white tiara/crown, black sunglasses, earrings, necklace, light blue dress, pink lips",REVIEWED
lady_010_saffron,Female,dark green,#12281c,solid,blonde/tan braided,green,light,,,gold earrings,magenta/pink top,pink,"24x24 pixel art portrait, dark green background (#12281c), blonde/tan braided hair, green eyes, light skin, gold earrings, magenta/pink top, pink lips",REVIEWED
lady_011_sage,Female,blue-grey,#6b92a6,solid,brown wavy long,green,light,,,white earring,coral/salmon top,pink,"24x24 pixel art portrait, blue-grey background (#6b92a6), brown wavy long hair, green eyes, light skin, white earring, coral/salmon top, pink lips",REVIEWED
lady_012_parasite,Female,cyan to pink gradient with pink splatter effects,"#37dff9, #040f61",gradient,black,light grey/blue (zombie-like),pale white/blue (zombie-like),,,,white top,,"24x24 pixel art portrait, cyan to pink gradient with pink splatter effects gradient background (#37dff9, #040f61), black hair, light grey/blue (zombie-like) eyes, pale white/blue (zombie-like) skin, white top",REVIEWED
lady_013_rosemary,Female,light purple to peach gradient,"#949bd2, #e9aa9b",gradient,brown wavy long,green,tan/light brown,,,,,pink,"24x24 pixel art portrait, light purple to peach gradient gradient background (#949bd2, #e9aa9b), brown wavy long hair, green eyes, tan/light brown skin, pink lips",REVIEWED
lady_014_olive,Female,dark purple,#1f003b,solid,blonde/tan braided,covered by brown visor/sunglasses,light,,,brown visor/sunglasses,magenta/pink top,pink,"24x24 pixel art portrait, dark purple background (#1f003b), blonde/tan braided hair, covered by brown visor/sunglasses eyes, light skin, brown visor/sunglasses, magenta/pink top, pink lips",REVIEWED
lady_015_lime,Female,bright yellow-green/lime,#b6df19,solid,black short,brown,light/pink,,,,white and grey checkered collar,pink,"24x24 pixel art portrait, bright yellow-green/lime background (#b6df19), black short hair, brown eyes, light/pink skin, white and grey checkered collar, pink lips",REVIEWED
lady_016_honey,Female,tan/orange gradient,"#db9f5e, #f7c978",gradient,white/grey wavy,green,tan/brown,brown glasses/visor,,brown glasses,blue top,pink,"24x24 pixel art portrait, tan/orange gradient gradient background (#db9f5e, #f7c978), white/grey wavy hair, green eyes, tan/brown skin, wearing brown glasses/visor, brown glasses, blue top, pink lips",REVIEWED
lady_017_pine,Female,yellow-green/sage,#b8c37f,solid,brown wavy long,brown,light,,,,blue and tan checkered collar,pink,"24x24 pixel art portrait, yellow-green/sage background (#b8c37f), brown wavy long hair, brown eyes, light skin, blue and tan checkered collar, pink lips",REVIEWED
lady_018_strawberry,Female,dark green,#2c5f34,solid,red/burgundy wavy,olive/yellow-green,light/pink,,,,yellow and green checkered collar,red,"24x24 pixel art portrait, dark green background (#2c5f34), red/burgundy wavy hair, olive/yellow-green eyes, light/pink skin, yellow and green checkered collar, red lips",REVIEWED
lady_019_banana,Female,blue,#566ee8,solid,mint green/turquoise large,brown,light/pink,,,,yellow and orange checkered collar,red,"24x24 pixel art portrait, blue background (#566ee8), mint green/turquoise large hair, brown eyes, light/pink skin, yellow and orange checkered collar, red lips",REVIEWED
lady_020_blood,Female,pink to magenta gradient,"#ff829f, #d70051",gradient,black with blue/grey checkered pattern,black,tan/brown,,,,white and magenta checkered collar,pink,"24x24 pixel art portrait, pink to magenta gradient gradient background (#ff829f, #d70051), black with blue/grey checkered pattern hair, black eyes, tan/brown skin, white and magenta checkered collar, pink lips",REVIEWED
lady_021_diamond,Female,light cyan/turquoise,#e6fffd,solid,brown/burgundy wavy with red checkered pattern,teal/green,light,,,white earring,cyan and white checkered collar,pink,"24x24 pixel art portrait, light cyan/turquoise background (#e6fffd), brown/burgundy wavy with red checkered pattern hair, teal/green eyes, light skin, white earring, cyan and white checkered collar, pink lips",REVIEWED
lady_022_gold,Female,dark grey,#4d4d4d,solid,brown wavy with orange and white bow/accessory,green,light,,,orange and white hair bow,white checkered collar,pink,"24x24 pixel art portrait, dark grey background (#4d4d4d), brown wavy with orange and white bow/accessory hair, green eyes, light skin, orange and white hair bow, white checkered collar, pink lips",REVIEWED
lady_023_silver,Female,light grey to beige gradient,"#e3effc, #d7d7d7",gradient,brown wavy with blue/purple/cyan hair accessory,green,light,,,colorful hair bow (blue/purple/cyan),light blue checkered collar,pink,"24x24 pixel art portrait, light grey to beige gradient gradient background (#e3effc, #d7d7d7), brown wavy with blue/purple/cyan hair accessory hair, green eyes, light skin, colorful hair bow (blue/purple/cyan), light blue checkered collar, pink lips",REVIEWED
lady_024_linen,Female,cyan/turquoise,#94d6d0,solid,brown wavy with yellow/gold checkered bow,green,light,,,yellow/gold checkered bow,purple checkered collar,pink,"24x24 pixel art portrait, cyan/turquoise background (#94d6d0), brown wavy with yellow/gold checkered bow hair, green eyes, light skin, yellow/gold checkered bow, purple checkered collar, pink lips",REVIEWED
lady_025_mistletoe,Female,dark blue/navy,#000c55,solid,brown wavy with red and white checkered bow,green,light,,,red and white checkered bow,green checkered collar,pink,"24x24 pixel art portrait, dark blue/navy background (#000c55), brown wavy with red and white checkered bow hair, green eyes, light skin, red and white checkered bow, green checkered collar, pink lips",REVIEWED
lady_026_fur,Female,blue,#0153fd,solid,black,green,light,brown bear/cat ears,,,grey/green top,pink,"24x24 pixel art portrait, blue background (#0153fd), black hair, green eyes, light skin, wearing brown bear/cat ears, grey/green top, pink lips",REVIEWED
lady_027_nitrogen,Female,blue,"#4682f8, #5399f8",solid,black wavy,green,light,,,,blue top,pink,"24x24 pixel art portrait, blue background (#4682f8, #5399f8), black wavy hair, green eyes, light skin, blue top, pink lips",REVIEWED
lady_028_marshmallow,Female,pink,#ffc7d4,solid,black/grey checkered pixelated,brown,tan/brown,,,,,pink,"24x24 pixel art portrait, pink background (#ffc7d4), black/grey checkered pixelated hair, brown eyes, tan/brown skin, pink lips",REVIEWED
lady_029_basil,Female,green split/gradient,"#62a233, #2c621a",split,brown short,covered by brown/tan visor,light,,,brown/tan visor/sunglasses,purple checkered collar,pink,"24x24 pixel art portrait, green split/gradient split background (#62a233, #2c621a), brown short hair, covered by brown/tan visor eyes, light skin, brown/tan visor/sunglasses, purple checkered collar, pink lips",REVIEWED
lady_030_grass,Female,tan/peach to orange/yellow split,"#ffe7cd, #ff8c61, #ffcf72",split,brown checkered/pixelated long,cyan/teal,light,,,,red and white checkered collar,pink,"24x24 pixel art portrait, tan/peach to orange/yellow split split background (#ffe7cd, #ff8c61, #ffcf72), brown checkered/pixelated long hair, cyan/teal eyes, light skin, red and white checkered collar, pink lips",REVIEWED
lady_031_paprika,Female,light beige/white,#ffffff,solid,red/burgundy wavy large,grey,pale/white,,,,grey checkered collar,pink,"24x24 pixel art portrait, light beige/white background (#ffffff), red/burgundy wavy large hair, grey eyes, pale/white skin, grey checkered collar, pink lips",REVIEWED
lady_032_salt,Female,red,#a61114,solid,white/grey wavy with red and white checkered bow,brown,light/pink,,,red and white checkered bow,tan/beige checkered collar,red,"24x24 pixel art portrait, red background (#a61114), white/grey wavy with red and white checkered bow hair, brown eyes, light/pink skin, red and white checkered bow, tan/beige checkered collar, red lips",REVIEWED
lady_033_staranise,Female,light pink,#ffd7d7,solid,brown checkered/pixelated wavy,green/teal,light,,,,burgundy/wine top,pink,"24x24 pixel art portrait, light pink background (#ffd7d7), brown checkered/pixelated wavy hair, green/teal eyes, light skin, burgundy/wine top, pink lips",REVIEWED
lady_034_lavender,Female,light pink/peach,"#d7c3c1, #f9e4c5",solid,brown wavy with blue/grey checkered bow,purple/burgundy,tan/brown,,,blue/grey checkered bow,grey checkered collar,pink,"24x24 pixel art portrait, light pink/peach background (#d7c3c1, #f9e4c5), brown wavy with blue/grey checkered bow hair, purple/burgundy eyes, tan/brown skin, blue/grey checkered bow, grey checkered collar, pink lips",REVIEWED
lady_035_turmeric,Female,light peach/tan,#ffc5b3,solid,brown/tan checkered wavy with blue/teal checkered hat,burgundy,tan/brown,blue/teal checkered wide-brim hat,,,,pink,"24x24 pixel art portrait, light peach/tan background (#ffc5b3), brown/tan checkered wavy with blue/teal checkered hat hair, burgundy eyes, tan/brown skin, wearing blue/teal checkered wide-brim hat, pink lips",REVIEWED
lady_036_boisenberry,Female,purple/magenta,#480745,solid,red/pink/burgundy wavy large pixelated,olive/yellow-green,light,,,teal/green accessory,,pink,"24x24 pixel art portrait, purple/magenta background (#480745), red/pink/burgundy wavy large pixelated hair, olive/yellow-green eyes, light skin, teal/green accessory, pink lips",REVIEWED
lady_037_rose,Female,pink,#ea9d95,solid,brown wavy pigtails with bows,brown,light,,,yellow earring/accessory,tan/cream checkered collar,pink,"24x24 pixel art portrait, pink background (#ea9d95), brown wavy pigtails with bows hair, brown eyes, light skin, yellow earring/accessory, tan/cream checkered collar, pink lips",REVIEWED
lady_038_peanut,Female,light cyan/turquoise,#bae4f4,solid,brown/burgundy wavy,purple,light/pink,,,,pink and yellow checkered collar,red,"24x24 pixel art portrait, light cyan/turquoise background (#bae4f4), brown/burgundy wavy hair, purple eyes, light/pink skin, pink and yellow checkered collar, red lips",REVIEWED
lady_039_sandalwood,Female,light purple,#dcb3ff,solid,red/pink/burgundy wavy large pixelated,covered by purple visor,light,,,purple visor/sunglasses,teal/green checkered collar,pink,"24x24 pixel art portrait, light purple background (#dcb3ff), red/pink/burgundy wavy large pixelated hair, covered by purple visor eyes, light skin, purple visor/sunglasses, teal/green checkered collar, pink lips",REVIEWED
lady_040_fivespice,Female,yellow,#fcfe66,solid,black/brown with purple checkered highlights,brown,light,,,,purple and orange/yellow checkered collar,pink,"24x24 pixel art portrait, yellow background (#fcfe66), black/brown with purple checkered highlights hair, brown eyes, light skin, purple and orange/yellow checkered collar, pink lips",REVIEWED
lady_041_bayleaf,Female,blue,#6b93bb,solid,red/pink/burgundy wavy large pixelated,olive/yellow-green,light,,,cigarette holder (white/orange),,pink,"24x24 pixel art portrait, blue background (#6b93bb), red/pink/burgundy wavy large pixelated hair, olive/yellow-green eyes, light skin, cigarette holder (white/orange), pink lips",REVIEWED
lady_042_almond,Female,pink,#f7c2bc,solid,brown wavy,brown,light,,,,cream/tan checkered collar,pink,"24x24 pixel art portrait, pink background (#f7c2bc), brown wavy hair, brown eyes, light skin, cream/tan checkered collar, pink lips",REVIEWED
lady_043_orange,Female,magenta to green split/gradient,"#950058, #05db73",split,black/dark pixelated,brown,light/pink,yellow/gold pixelated crown/headband with cyan/magenta accents,,green splatter/effects,,pink,"24x24 pixel art portrait, magenta to green split/gradient split background (#950058, #05db73), black/dark pixelated hair, brown eyes, light/pink skin, wearing yellow/gold pixelated crown/headband with cyan/magenta accents, green splatter/effects, pink lips",REVIEWED
lady_044_x,Female,magenta to green split/gradient,"#3ffe9e, #35dd88",split,black/dark pixelated,brown,light/pink,colorful pixelated crown (white/grey/purple/cyan/magenta),,,,pink,"24x24 pixel art portrait, magenta to green split/gradient split background (#3ffe9e, #35dd88), black/dark pixelated hair, brown eyes, light/pink skin, wearing colorful pixelated crown (white/grey/purple/cyan/magenta), pink lips",REVIEWED
lady_045_x,Female,green striped/gradient,"#3ffe9e, #35dd88",striped,black/grey pixelated short,burgundy/purple,light,,,,yellow checkered collar,pink,"24x24 pixel art portrait, green striped/gradient striped background (#3ffe9e, #35dd88), black/grey pixelated short hair, burgundy/purple eyes, light skin, yellow checkered collar, pink lips",REVIEWED
lady_046_x,Female,green striped/gradient,"#3ffe9e, #00dd73, #35dd88",striped,brown short pixelated,olive/brown,light,,,orange/yellow accessory,,pink,"24x24 pixel art portrait, green striped/gradient striped background (#3ffe9e, #00dd73, #35dd88), brown short pixelated hair, olive/brown eyes, light skin, orange/yellow accessory, pink lips",REVIEWED
lady_047_x,Female,green striped/gradient,#35dd88,striped,black short,covered by tan visor,light/pink,,,tan visor/sunglasses,pink/purple top,red,"24x24 pixel art portrait, green striped/gradient striped background (#35dd88), black short hair, covered by tan visor eyes, light/pink skin, tan visor/sunglasses, pink/purple top, red lips",REVIEWED
lady_048_pink,Female,bright green,#e50bb4,solid,blonde/tan pixelated curly large,blue,light,,,,purple/mauve checkered collar,pink,"24x24 pixel art portrait, bright green background (#e50bb4), blonde/tan pixelated curly large hair, blue eyes, light skin, purple/mauve checkered collar, pink lips",REVIEWED
lady_049_abstractangels,Female,green gradient/striped,"#0fce6f, #a5ff9b",striped,black wavy,teal/cyan,light,,,"white pixelated angel wings, purple cross/halo",,red,"24x24 pixel art portrait, green gradient/striped striped background (#0fce6f, #a5ff9b), black wavy hair, teal/cyan eyes, light skin, white pixelated angel wings, purple cross/halo, red lips",REVIEWED
lady_050_x-6,Female,magenta to green split/gradient,"#c46eab, #70eb80",split,black/grey pixelated short,brown,light/tan,gold/tan visor,,"white pixelated effects, green/white cross",white/cream checkered collar,pink,"24x24 pixel art portrait, magenta to green split/gradient split background (#c46eab, #70eb80), black/grey pixelated short hair, brown eyes, light/tan skin, wearing gold/tan visor, white pixelated effects, green/white cross, white/cream checkered collar, pink lips",REVIEWED
lady_051_rosieabstract,Female,green striped/checkered,"#35dd88, #3ffe9e",checkered,brown short with orange/white/yellow checkered bow/crown,grey/purple,light/tan,orange/white/yellow checkered bow/crown,,,light cyan/white checkered collar,orange,"24x24 pixel art portrait, green striped/checkered checkered background (#35dd88, #3ffe9e), brown short with orange/white/yellow checkered bow/crown hair, grey/purple eyes, light/tan skin, wearing orange/white/yellow checkered bow/crown, light cyan/white checkered collar, orange lips",REVIEWED
lady_052_pinksilkabstract,Female,purple to orange gradient,"#ba6ddf, #ffcd6c",gradient,brown short with white/pink tiara,brown/tan,light,white/pink tiara/crown,,,light blue/white checkered collar,pink,"24x24 pixel art portrait, purple to orange gradient gradient background (#ba6ddf, #ffcd6c), brown short with white/pink tiara hair, brown/tan eyes, light skin, wearing white/pink tiara/crown, light blue/white checkered collar, pink lips",REVIEWED
lady_053_pepperabstract,Female,green to black split,"#4eea6d, #000000",split,black and white split (Cruella style),green,pale white,,,,red/pink checkered collar,red,"24x24 pixel art portrait, green to black split split background (#4eea6d, #000000), black and white split (Cruella style) hair, green eyes, pale white skin, red/pink checkered collar, red lips",REVIEWED
lady_054_hazelnutabstract-3,Female,green striped/gradient,"#3ffe9e, #35dd88",striped,brown wavy with blue bow/accessory,green,light,,,blue bow/accessory,cream/tan checkered collar,pink,"24x24 pixel art portrait, green striped/gradient striped background (#3ffe9e, #35dd88), brown wavy with blue bow/accessory hair, green eyes, light skin, blue bow/accessory, cream/tan checkered collar, pink lips",REVIEWED
lady_055_bloodabstract,Female,green striped/gradient,"#3ffe9e, #35dd88",striped,black with blue/grey checkered pattern and yellow/white crown,purple,tan/brown,yellow/white crown/tiara,,,light purple/white checkered collar,pink,"24x24 pixel art portrait, green striped/gradient striped background (#3ffe9e, #35dd88), black with blue/grey checkered pattern and yellow/white crown hair, purple eyes, tan/brown skin, wearing yellow/white crown/tiara, light purple/white checkered collar, pink lips",REVIEWED
lady_056_alloyabstract,Female,pink to purple to blue gradient,"#e27296, #4941ca",gradient,brown/tan pixelated short,cyan/teal,light,,,,,pink,"24x24 pixel art portrait, pink to purple to blue gradient gradient background (#e27296, #4941ca), brown/tan pixelated short hair, cyan/teal eyes, light skin, pink lips",REVIEWED
lady_057_bluesilkabstract,Female,purple to cyan gradient,"#6c50d8, #8bfba9",gradient,brown short with white/pink tiara,covered by black sunglasses,light,white/pink tiara/crown,,black sunglasses,light blue/white checkered collar,pink,"24x24 pixel art portrait, purple to cyan gradient gradient background (#6c50d8, #8bfba9), brown short with white/pink tiara hair, covered by black sunglasses eyes, light skin, wearing white/pink tiara/crown, black sunglasses, light blue/white checkered collar, pink lips",REVIEWED
lady_058_x,Female,cyan/turquoise,#87cec1,solid,black/grey pixelated wavy,brown,light,,,,pink top,pink,"24x24 pixel art portrait, cyan/turquoise background (#87cec1), black/grey pixelated wavy hair, brown eyes, light skin, pink top, pink lips",REVIEWED
lady_059_paula-5,Female,bright green,#03dc73,solid,brown checkered/pixelated wavy,purple/grey,light,grey/white visor,,grey/white visor,blue checkered collar,pink,"24x24 pixel art portrait, bright green background (#03dc73), brown checkered/pixelated wavy hair, purple/grey eyes, light skin, wearing grey/white visor, grey/white visor, blue checkered collar, pink lips",REVIEWED
lady_059_paula-6,Female,green striped/gradient,"#3ffe9e, #03dc73",striped,brown checkered/pixelated wavy,covered by grey visor,light,,,grey/dark visor/sunglasses,blue and yellow checkered collar,pink,"24x24 pixel art portrait, green striped/gradient striped background (#3ffe9e, #03dc73), brown checkered/pixelated wavy hair, covered by grey visor eyes, light skin, grey/dark visor/sunglasses, blue and yellow checkered collar, pink lips",REVIEWED
lady_060_winehouse,Female,light purple,#b998da,solid,black pixelated wavy with white/grey/red accessories,olive/tan,light,,,"red flower/bow, white pixelated effects",,pink,"24x24 pixel art portrait, light purple background (#b998da), black pixelated wavy with white/grey/red accessories hair, olive/tan eyes, light skin, red flower/bow, white pixelated effects, pink lips",REVIEWED
lady_061_nikkkk-2,Female,bright green,#5fce7f,solid,brown wavy long,cyan/teal,light,light cyan/mint pixelated hat/headband,,white/green cross,grey/dark checkered collar,pink,"24x24 pixel art portrait, bright green background (#5fce7f), brown wavy long hair, cyan/teal eyes, light skin, wearing light cyan/mint pixelated hat/headband, white/green cross, grey/dark checkered collar, pink lips",REVIEWED
lady_062_Dalia-2,Female,pink,#f6acc5,solid,black,brown,light,brown bear ears,,red bows (side),red top,pink,"24x24 pixel art portrait, pink background (#f6acc5), black hair, brown eyes, light skin, wearing brown bear ears, red bows (side), red top, pink lips",REVIEWED
lady_062_Dalia-BD,Female,blue,"#9cb6ff, #92aefd",solid,black,brown,light,white bear ears,,red bows (side),red top,pink,"24x24 pixel art portrait, blue background (#9cb6ff, #92aefd), black hair, brown eyes, light skin, wearing white bear ears, red bows (side), red top, pink lips",REVIEWED
lady_063_PVR-3,Female,orange,#e78441,solid,black large afro,covered by tan visor,light/tan,,,tan visor/sunglasses,magenta/burgundy top,pink,"24x24 pixel art portrait, orange background (#e78441), black large afro hair, covered by tan visor eyes, light/tan skin, tan visor/sunglasses, magenta/burgundy top, pink lips",REVIEWED
lady_064_aubree-2,Female,magenta/pink,#d2007c,solid,brown wavy,green,light,,,,purple and white checkered collar,pink,"24x24 pixel art portrait, magenta/pink background (#d2007c), brown wavy hair, green eyes, light skin, purple and white checkered collar, pink lips",REVIEWED
lady_065_miggs,Female,purple and pink striped/gradient,"#c498cd, #dd94c6",striped,green pixelated large checkered,cyan/teal,light,,,,blue top,pink,"24x24 pixel art portrait, purple and pink striped/gradient striped background (#c498cd, #dd94c6), green pixelated large checkered hair, cyan/teal eyes, light skin, blue top, pink lips",REVIEWED
lady_065_miggs-4,Female,purple striped/gradient,"#bf8ec9, #af6ebc",striped,blonde/tan pixelated curly large checkered,cyan/teal,light,,,,yellow and pink checkered collar,pink,"24x24 pixel art portrait, purple striped/gradient striped background (#bf8ec9, #af6ebc), blonde/tan pixelated curly large checkered hair, cyan/teal eyes, light skin, yellow and pink checkered collar, pink lips",REVIEWED
lady_066_monalisa-3,Female,green gradient/pixelated,"#486041, #8b5f27, #7b4a2c",gradient,brown wavy,brown,tan/yellow,,,,,,"24x24 pixel art portrait, green gradient/pixelated gradient background (#486041, #8b5f27, #7b4a2c), brown wavy hair, brown eyes, tan/yellow skin",REVIEWED
lady_067_salamander-2,Female,grey,#929493,solid,white/cream large fluffy,purple,light,,,,tan/brown checkered shawl/collar,pink,"24x24 pixel art portrait, grey background (#929493), white/cream large fluffy hair, purple eyes, light skin, tan/brown checkered shawl/collar, pink lips",REVIEWED
lady_068_nikkisf-4,Female,tan/peach,#b0735e,solid,black pixelated wavy,brown,light,,,,tan/brown checkered collar,pink,"24x24 pixel art portrait, tan/peach background (#b0735e), black pixelated wavy hair, brown eyes, light skin, tan/brown checkered collar, pink lips",REVIEWED
lady_069_giulia,Female,yellow/tan,#f6e49a,solid,brown with yellow/green/cyan pixelated accessories,covered by blue visor,tan/brown,,,"blue visor, yellow/green/cyan pixelated hair decorations",green/blue checkered collar,,"24x24 pixel art portrait, yellow/tan background (#f6e49a), brown with yellow/green/cyan pixelated accessories hair, covered by blue visor eyes, tan/brown skin, blue visor, yellow/green/cyan pixelated hair decorations, green/blue checkered collar",REVIEWED
lady_070_mango,Female,bright green,#03dc73,solid,pink pixelated large,purple,pale white,,,,light blue/white checkered collar,,"24x24 pixel art portrait, bright green background (#03dc73), pink pixelated large hair, purple eyes, pale white skin, light blue/white checkered collar",REVIEWED
lady_071_papaya,Female,tan/brown,#9e7243,solid,black pixelated short,grey,light/tan,,,white earrings,,pink,"24x24 pixel art portrait, tan/brown background (#9e7243), black pixelated short hair, grey eyes, light/tan skin, white earrings, pink lips",REVIEWED
lady_072_tangerine,Female,dark blue,#172c89,solid,orange/red gradient pixelated large wavy,grey/purple,light,,,yellow earring,,red,"24x24 pixel art portrait, dark blue background (#172c89), orange/red gradient pixelated large wavy hair, grey/purple eyes, light skin, yellow earring, red lips",REVIEWED
lady_073_mango_punk,Female,bright green,#0dce71,solid,yellow/orange pixelated large with burgundy bow,cyan/teal,pale white,,,"burgundy/red bow, cigarette holder",,,"24x24 pixel art portrait, bright green background (#0dce71), yellow/orange pixelated large with burgundy bow hair, cyan/teal eyes, pale white skin, burgundy/red bow, cigarette holder",REVIEWED
lady_074_melon,Female,bright green,#03dc73,solid,tan/peach checkered pixelated,cyan/teal,tan/brown,tan/peach checkered wide-brim hat,,,red cross/medical symbol,pink,"24x24 pixel art portrait, bright green background (#03dc73), tan/peach checkered pixelated hair, cyan/teal eyes, tan/brown skin, wearing tan/peach checkered wide-brim hat, red cross/medical symbol, pink lips",REVIEWED
lady_075_clementine,Female,cyan checkered,"#12c0d8, #79e7ff",checkered,red/magenta pixelated large with grey bows,green,pale white,,,grey bows,black and white checkered collar,pink,"24x24 pixel art portrait, cyan checkered checkered background (#12c0d8, #79e7ff), red/magenta pixelated large with grey bows hair, green eyes, pale white skin, grey bows, black and white checkered collar, pink lips",REVIEWED
lady_076_orange_blossom,Female,tan/beige,#d5bca5,solid,brown checkered/pixelated wavy with brown crown,brown,light/tan,brown pixelated crown,,,red top,pink,"24x24 pixel art portrait, tan/beige background (#d5bca5), brown checkered/pixelated wavy with brown crown hair, brown eyes, light/tan skin, wearing brown pixelated crown, red top, pink lips",REVIEWED
lady_077_pink_grapefruit,Female,grey to pink split,"#d8e5dc, #ff98b9",split,blue/teal pixelated large,olive/tan,light/tan,,,,red and white checkered collar,pink,"24x24 pixel art portrait, grey to pink split split background (#d8e5dc, #ff98b9), blue/teal pixelated large hair, olive/tan eyes, light/tan skin, red and white checkered collar, pink lips",REVIEWED
lady_078_orange_zest,Female,tan/brown,#884b2e,solid,black/brown/blue pixelated,brown,light,,,,white collar,pink,"24x24 pixel art portrait, tan/brown background (#884b2e), black/brown/blue pixelated hair, brown eyes, light skin, white collar, pink lips",REVIEWED
lady_079_lime_breeze,Female,yellow gradient/striped,"#dda212, #fdf059",gradient,brown pixelated short,brown,tan,orange headband,,grey/white pixelated wings/effects,brown checkered collar,pink,"24x24 pixel art portrait, yellow gradient/striped gradient background (#dda212, #fdf059), brown pixelated short hair, brown eyes, tan skin, wearing orange headband, grey/white pixelated wings/effects, brown checkered collar, pink lips",REVIEWED
lady_080_zesty_lime,Female,grey,#b8c2cb,solid,black wavy,brown,light,,,,,pink,"24x24 pixel art portrait, grey background (#b8c2cb), black wavy hair, brown eyes, light skin, pink lips",REVIEWED
lady_085_IRA2,Female,red,#c62f42,solid,blonde/tan wavy,cyan/teal,light,,,"white pixelated wings/effects, gold necklace",,pink,"24x24 pixel art portrait, red background (#c62f42), blonde/tan wavy hair, cyan/teal eyes, light skin, white pixelated wings/effects, gold necklace, pink lips",REVIEWED
lady_086_ELENI9,Female,tan/beige,#e1cbb3,solid,black/brown wavy,blue,light,,,pink veil/headscarf pixelated,,pink,"24x24 pixel art portrait, tan/beige background (#e1cbb3), black/brown wavy hair, blue eyes, light skin, pink veil/headscarf pixelated, pink lips",REVIEWED
lady_087_feybirthday5,Female,beige with pixelated elements,#fee6ba,solid,black/brown wavy,grey,light,,,"pixelated colorful elements (yellow, blue, green, brown, magenta)",purple top,pink,"24x24 pixel art portrait, beige with pixelated elements background (#fee6ba), black/brown wavy hair, grey eyes, light skin, pixelated colorful elements (yellow, blue, green, brown, magenta), purple top, pink lips",REVIEWED
lady_088_r,Female,orange,#f4ac62,solid,brown checkered/pixelated wavy,cyan/teal,light,,,burgundy/dark red visor/glasses,white and blue/red checkered collar,pink,"24x24 pixel art portrait, orange background (#f4ac62), brown checkered/pixelated wavy hair, cyan/teal eyes, light skin, burgundy/dark red visor/glasses, white and blue/red checkered collar, pink lips",REVIEWED
lady_090_missthang,Female,light grey/beige,#cbc8c3,solid,black/brown wavy,green,light/tan,,,yellow earrings,blue checkered collar,pink,"24x24 pixel art portrait, light grey/beige background (#cbc8c3), black/brown wavy hair, green eyes, light/tan skin, yellow earrings, blue checkered collar, pink lips",REVIEWED
lady_094_violetta,Female,"split (beige, burgundy, green, grey-blue)","#d1bba6, #853d44, #8bbc92, #62677f",split,black wavy long,brown,light,,,,white and yellow checkered collar,pink,"24x24 pixel art portrait, split (beige, burgundy, green, grey-blue) split background (#d1bba6, #853d44, #8bbc92, #62677f), black wavy long hair, brown eyes, light skin, white and yellow checkered collar, pink lips",REVIEWED
