Duplicate?,Name,Description,Type,Status,Character,Background,Hair,Eyes,,,,Props,Owner Name,Owner Wallet,Description 1,Desciption 2
,lady_053_pepperabstract,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Rainbow gradient background, Brown hair with white tiara, Light skin tone, Gold accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_053_pepperabstract.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_054_hazelnutabstract-3,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Green/black background, Black/white split hair, Pale skin tone, Red lips, Red accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_054_hazelnutabstract-3.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_055_bloodabstract,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Green striped background, Dark hair, Brown skin tone, Yellow crown, Purple accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_055_bloodabstract.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_056_alloyabstract,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Rainbow gradient background, Light brown hair, Light skin tone, Blue eyes, Gold accents","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_056_alloyabstract.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_057_bluesilkabstract,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Multi-color gradient background, Brown hair with black sunglasses, White tiara","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_057_bluesilkabstract.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
x,lady_058_x,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Mint background, Black hair, Light skin tone, Pink accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_058_x.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_059_paula-6,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Green striped background, Brown wavy hair, Light skin tone, Silver glasses, Yellow accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_059_paula-5.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_060_winehouse,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Purple background, Black hair with red accessory, Light skin tone, Natural makeup","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_059_paula-6.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_061_nikkkk-2,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Green background with star, Brown wavy hair, Light skin tone, Blue eyes, Gray accent, Pink details","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_060_winehouse.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_062_Dalia-2,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Pink background, Black hair with brown bear ears, Light skin tone, Red bow accents","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_061_nikkkk-2.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
x,lady_062_Dalia-BD,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Blue background, Black hair with red bows, Light skin tone, White chef hat","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_062_Dalia-2.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_063_PVR-3,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Orange background, Black hair, Light skin tone, Gold visor/band, Burgundy accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_062_Dalia-BD.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_064_aubree-2,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Magenta background, Brown wavy hair, Light skin tone, Green eyes, Purple/white accents","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_064_aubree-2.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_065_miggs-4,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Purple background, Blonde checkerboard hair pattern, Light skin tone, Blue eyes, Pink accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_065_miggs-4.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
x,lady_065_miggs,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Purple/pink gradient, Green gradient hair, Light skin tone, Blue eyes, Yellow accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_066_monalisa-3.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_066_monalisa-3,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Forest green background, Dark brown hair, Light skin tone, Brown eyes, Muted tones","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_067_salamander-2.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_067_salamander-2,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Gray background, White/gray styled hair, Light skin tone, Natural makeup","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_068_nikkisf-4.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_068_nikkisf-4,,,,,,,,,,,,,,"Bespoke: 24x24 grid, Terracotta background, Black hair, Light skin tone, Checkerboard collar pattern","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_069_giulia.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_069_giulia,,,,,,,,,,,,,,,
,lady_070_mango,,,,,,,,,,,,,,,
,lady_071_papaya,,,,,,,,,,,,,,,
,lady_072_tangerine,,,,,,,,,,,,,,,
,lady_073_mango_punk,,,,,,,,,,,,,,,
,lady_074_melon,,,,,,,,,,,,,,,
,lady_075_clementine,,,,,,,,,,,,,,,
,lady_076_orange_blossom,,,,,,,,,,,,,,,
,lady_077_pink_grapefruit,,,,,,,,,,,,,,,
,lady_078_orange_zest,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,lad_001_carbon,Portrait of a Picture.,Male,Legend,,Brick,Brown,Brown,,,,Hat,,,,
,lad_002_cash,Portrait of a Picture. $CASH,Male,Legend,George Washington $CASH,Green,White/Grey/Green,Sunglasses,,,,,,,,
,lad_003_chai,Portrait of a Picture.,Male,Legend,,Brown,Brown,Brown,,,,Hat,,,,
,lad_004_silicon,Portrait of a Picture. @thinkingUSD,Male,Legend,thinkingUSD,Grey,Grey,Grey,,,,Tie,,,,
,lad_005_copper,Portrait of a Picture. Nikola Tesla,Male,Legend,Nikola Tesla,Multi,Brown,Brown,,,,Mustache,,,,
,lad_006_redshift,Portrait of a Picture.,Male,Legend,,Brown,Blonde,Blue,,,,,,,,
,lad_007_titanium,Portrait of a Picture.,Male,Legend,,Grey,Black,Brown,,,,5'oclock shadow,,,,
,lad_008_platinum,Portrait of a Picture.,Male,Legend,,Multi,Black,Multi,,,,"Face crack, Scruff",,,,
,lad_009_steel,Portrait of a Picture.,Male,Legend,,Blue,Black/Grey/White,Brown,,,,"Scruff, Glasses, Tie",,,,
,lad_010_aluminum,Portrait of a Picture.,Male,Legend,,Blue,Black/Grey/White,Brown,,,,"Hat, Scruff, Glasses",,,,
,lad_011_chocolate,Portrait of a Picture.,Male,Legend,,Multi,Black/Grey,Light Brown,,,,Beard,,,,
,lad_012_chromium,Portrait of a Picture.,Male,Legend,Sam Altman,Eggshell,Ash Brown,Blue,,,,Scruff,,,,
,lad_013_caramel,Portrait of a Picture.,Male,Legend,Roon,Multi,Black,Black,,,,,,,,
,lad_014_sugar,Portrait of a Picture.,Male,Legend,,Blue,Brown/Red,Blue,,,,,Alex Burkhardt,0xcaFdf598e5dd635173356DC5306F07A99760029E,,
,lad_015_jackson,,,,,,,,,,,,,,,
,lad_016_tungsten,,,,,,,,,,,,,,,
,lad_017_ink,,,,,,,,,,,,,,,
,lad_018_mandarin,,,,,,,,,,,,,,,
,lad_019_diamond,,,,,,,,,,,,,,,
,lad_020_gpu,,,,,,,,,,,,,,,
NEW,lad_021_x,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_022_x,,Male,,,Green,Multi,Multi,,,,,,,,
NEW,lad_023_x-2,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_023_x-3,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_023_x-4,,Male,,,Multi,Green,Pink,,,,,,,,
NEW,lad_023_x,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_024_x,,Male,,,Multi,Multi,Multi,,,,,,,,
NEW,lad_025_x,,Male,,,Pink,Pink,Multi,,,,,,,,
NEW,lad_026_chromiumabstractsalmon,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_027_chromiumabstractyellow,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_028_chromiumabstractgreen,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_029_famous-9,,Male,,,Blue,Blue,Orange,,,,,,,,
NEW,lad_029_famous4,,Male,,,Lavender,Lavender,Pink,,,,,,,,
NEW,lad_030_ink,,Male,,,Grey,Grey,Multi,,,,,,,,
NEW,lad_031_fin,,Male,,,Multi,Multi,Grey,,,,,,,,
NEW,lad_032_shaman-4,,Male,,,Pink,Pink,Pink,,,,,,,,
NEW,lad_033_molecule-2,,Male,,,Pink,Pink,Lavender,,,,,,,,
NEW,lad_035_JUAN,,Male,,,Multi,Multi,Multi,,,,,,,,
NEW,lad_036_x,,Male,,,Multi,Pink,Lavender,,,,,,,,
NEW,lad_037_aressprout,,Male,,,Pink,Pink,Pink,,,,,,,,
NEW,lad_038_cashking-6,,Male,,,Multi,Multi,Black,,,,,,,,
NEW,lad_039_davinci-2,,Male,,,Multi,Multi,Lavender,,,,,,,,
NEW,lad_040_melzarmagic,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_041_Maradona,,Male,,,Multi,Multi,Lavender,,,,,,,,
NEW,lad_043_jeremey,,Male,,,Multi,Multi,Multi,,,,,,,,
NEW,lad_045_homewithkids3,,Male,,,Multi,Multi,Lavender,,,,,,,,
NEW,lad_046_NATE,,Male,,,Multi,Multi,Multi,,,,,,,,
NEW,lad_050_nate-2,,Male,,,Grey,Grey,Lavender,,,,,,,,
NEW,lad_050_nate,,Male,,,Grey,Grey,Lavender,,,,,,,,
NEW,lad_051_DEVON-2,,Male,,,Multi,Multi,Lavender,,,,,,,,
NEW,lad_051_DEVON-4,,Male,,,Multi,Multi,Lavender,,,,,,,,
NEW,lad_054_sterling,,Male,,,Pink,Pink,Pink,,,,,,,,
NEW,lad_054_sterlingglasses,,Male,,,Pink,Pink,Multi,,,,,,,,
NEW,lad_054_sterlingglasses3withcrown5,,Male,,,Multi,Orange,Multi,,,,,,,,
NEW,lad_055_Luke,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_055_Luke10,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_055_Luke3,,Male,,,Pink,Multi,Pink,,,,,,,,
NEW,lad_055_Luke6,,Male,,,Multi,Multi,Multi,,,,,,,,
NEW,lad_055_Luke8,,Male,,,Multi,Red,Pink,,,,,,,,
NEW,lad_057_Hugh,,Male,,,Multi,Multi,Lavender,,,,,,,,
NEW,lad_057_Hugh5,,Male,,,Multi,White,Black,,,,,,,,
NEW,lad_058_SAVVA,,Male,,,Multi,Multi,Lavender,,,,,,,,
NEW,lad_059_SamAScientist,,Male,,,Multi,Multi,Multi,,,,,,,,
NEW,lad_060_bhaitradingbot2,,Male,,,Grey,Grey,Multi,,,,,,,,
NEW,lad_061_DOPE7,,Male,,,Multi,Multi,Black,,,,,,,,
NEW,lad_062_devox2,,Male,,,Multi,Multi,Lavender,,,,,,,,
NEW,lad_063_kenichi,,Male,,,Red,Multi,Multi,,,,,,,,
NEW,lad_064_Scott,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_064_sensei,,Male,,,White,White,Lavender,,,,,,,,
NEW,lad_066_napoli2,,Male,,,Multi,Multi,Multi,,,,,,,,
NEW,lad_068_mayor,,Male,,,Multi,Black,Grey,,,,,,,,
NEW,lad_070_IRAsBF2,,Male,,,Pink,Pink,Lavender,,,,,,,,
NEW,lad_075_mmhm,,Male,,,Pink,Pink,Pink,,,,,,,,
NEW,lad_078_btoshi,,Male,,,Pink,Black,Multi,,,,,,,,
NEW,lad_079_ravish,,Male,,,Pink,Pink,Multi,,,,,,,,
NEW,lad_080_fcpo,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_081_iggy2,,Male,,,Pink,Pink,Multi,,,,,,,,
NEW,lad_086_Scooby,,Male,,,Pink,Pink,Pink,,,,,,,,
NEW,lad_087_HEEM,,Male,,,Pink,Multi,Multi,,,,,,,,
NEW,lad_088_Kareem,,Male,,,Multi,Multi,Grey,,,,,,,,
NEW,lad_089_aguda,,Male,,,Multi,Multi,Multi,,,,,,,,
NEW,lad_090_drscott,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_091_amit,,Male,,,White,Multi,Grey,,,,,,,,
NEW,lad_092_derrick,,Male,,,Pink,Pink,Pink,,,,,,,,
NEW,lad_093_photogee,,Male,,,Multi,Multi,Multi,,,,,,,,
NEW,lad_094_storm,,Male,,,Multi,Multi,Brown,,,,,,,,
NEW,lad_095_godfather,,Male,,,Multi,Multi,Multi,,,,,,,,
NEW,lad_096_apollo,,Male,,,Multi,Black,Multi,,,,,,,,
NEW,lad_097_drralph,,Male,,,White,White,Lavender,,,,,,,,
NEW,lad_098_Murtaza,,Male,,,Grey,Grey,Multi,,,,,,,,
NEW,lad_099_amenshiller,,Male,,,Pink,Pink,Multi,,,,,,,,
NEW,lad_102_bunya,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_102_bunya2,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_102_bunya3,,Male,,,Multi,Multi,Pink,,,,,,,,
NEW,lad_103_merheb,,Male,,,White,White,Lavender,,,,,,,,
NEW,lad_103_merheb2,,Male,,,Multi,Multi,Lavender,,,,,,,,
NEW,lad_74_lc,,Male,,,Pink,Multi,Multi,,,,,,,,
NEW,lady_059_paula-5,,Female,,,Multi,Multi,Multi,,,,,,,,
NEW,lady_079_lime_breeze,,Female,,,Orange,Brown,Multi,,,,,,,,
NEW,lady_080_zesty_lime,,Female,,,Pink,Pink,Pink,,,,,,,,
NEW,lady_085_IRA2,,Female,,,Multi,Multi,Lavender,,,,,,,,
NEW,lady_086_ELENI9,,Female,,,Pink,Pink,Pink,,,,,,,,
NEW,lady_087_feybirthday5,,Female,,,Pink,Pink,Lavender,,,,,,,,
NEW,lady_088_r,,Female,,,Orange,Orange,Multi,,,,,,,,
NEW,lady_090_missthang,,Female,,,Pink,Pink,Lavender,,,,,,,,
NEW,lady_094_violetta,,Female,,,Pink,Black,Lavender,,,,,,,,
NEW,lady_095_royalty,,Female,,,Grey,Multi,Lavender,,,,,,,,
NEW,lady_096_yuri,,Female,,,Multi,Multi,Pink,,,,,,,,
NEW,lady_097_dani,,Female,,,Pink,Pink,Multi,,,,,,,,
NEW,lady_097_dani2,,Female,,,Pink,Pink,Multi,,,,,,,,
NEW,lady_098_heyeah,,Female,,,Blue,Blue,Multi,,,,,,,,
NEW,lady_099_VQ,,Female,,,Multi,Multi,Multi,,,,,,,,
